slot,time,price_eur_kwh
0,00:00,0.0520
1,00:15,0.0510
2,00:30,0.0498
3,00:45,0.0485
4,01:00,0.0472
5,01:15,0.0460
6,01:30,0.0450
7,01:45,0.0442
8,02:00,0.0438
9,02:15,0.0435
10,02:30,0.0433
11,02:45,0.0432
12,03:00,0.0432
13,03:15,0.0433
14,03:30,0.0435
15,03:45,0.0440
16,04:00,0.0448
17,04:15,0.0460
18,04:30,0.0478
19,04:45,0.0505
20,05:00,0.0545
21,05:15,0.0598
22,05:30,0.0660
23,05:45,0.0735
24,06:00,0.0825
25,06:15,0.0910
26,06:30,0.0985
27,06:45,0.1050
28,07:00,0.1105
29,07:15,0.1148
30,07:30,0.1175
31,07:45,0.1190
32,08:00,0.1195
33,08:15,0.1185
34,08:30,0.1165
35,08:45,0.1135
36,09:00,0.1095
37,09:15,0.1050
38,09:30,0.1005
39,09:45,0.0960
40,10:00,0.0920
41,10:15,0.0885
42,10:30,0.0855
43,10:45,0.0830
44,11:00,0.0810
45,11:15,0.0795
46,11:30,0.0782
47,11:45,0.0772
48,12:00,0.0765
49,12:15,0.0760
50,12:30,0.0758
51,12:45,0.0760
52,13:00,0.0768
53,13:15,0.0780
54,13:30,0.0798
55,13:45,0.0822
56,14:00,0.0852
57,14:15,0.0890
58,14:30,0.0938
59,14:45,0.0998
60,15:00,0.1072
61,15:15,0.1160
62,15:30,0.1265
63,15:45,0.1388
64,16:00,0.1530
65,16:15,0.1688
66,16:30,0.1860
67,16:45,0.2040
68,17:00,0.2220
69,17:15,0.2420
70,17:30,0.2610
71,17:45,0.2750
72,18:00,0.2830
73,18:15,0.2850
74,18:30,0.2810
75,18:45,0.2720
76,19:00,0.2580
77,19:15,0.2400
78,19:30,0.2200
79,19:45,0.1990
80,20:00,0.1780
81,20:15,0.1600
82,20:30,0.1440
83,20:45,0.1310
84,21:00,0.1200
85,21:15,0.1108
86,21:30,0.1028
87,21:45,0.0958
88,22:00,0.0895
89,22:15,0.0838
90,22:30,0.0788
91,22:45,0.0742
92,23:00,0.0700
93,23:15,0.0662
94,23:30,0.0628
95,23:45,0.0598
